date	company	S_it
2021-04-01	重庆啤酒	0.0
2021-04-01	重庆啤酒	-1.0
2021-04-06	重庆啤酒	1.0
2021-04-08	重庆啤酒	1.0
2021-04-08	重庆啤酒	1.0
2021-04-11	重庆啤酒	-1.0
2021-04-13	重庆啤酒	-1.0
2021-04-13	重庆啤酒	0.0
2021-04-13	重庆啤酒	0.0
2021-04-21	重庆啤酒	-1.0
2021-04-23	重庆啤酒	0.0
2021-04-23	重庆啤酒	-1.0
2021-04-24	重庆啤酒	0.0
2021-04-27	重庆啤酒	-1.0
2021-04-27	重庆啤酒	-1.0
2021-04-27	重庆啤酒	0.0
2021-04-27	重庆啤酒	1.0
2021-04-27	重庆啤酒	0.0
2021-04-27	重庆啤酒	-1.0
2021-04-27	重庆啤酒	0.0
2021-04-28	重庆啤酒	1.0
2021-04-28	重庆啤酒	0.0
2021-04-28	重庆啤酒	-1.0
2021-04-28	重庆啤酒	-1.0
2021-04-28	重庆啤酒	1.0
2021-04-28	重庆啤酒	0.0
2021-04-28	重庆啤酒	-1.0
2021-04-28	重庆啤酒	0.0
2021-04-28	重庆啤酒	-1.0
2021-04-28	重庆啤酒	0.0
2021-04-29	重庆啤酒	-1.0
2021-04-29	重庆啤酒	-1.0
2021-04-29	重庆啤酒	-1.0
2021-04-29	重庆啤酒	-1.0
2021-04-29	重庆啤酒	-1.0
2021-04-29	重庆啤酒	-1.0
2021-04-29	重庆啤酒	-1.0
2021-04-30	重庆啤酒	-1.0
2021-04-30	重庆啤酒	-1.0
2021-04-30	重庆啤酒	-1.0
2021-05-01	重庆啤酒	-1.0
2021-05-01	重庆啤酒	-1.0
2021-05-06	重庆啤酒	1.0
2021-05-07	重庆啤酒	1.0
2021-05-07	重庆啤酒	0.0
2021-05-07	重庆啤酒	0.0
2021-05-08	重庆啤酒	-1.0
2021-05-10	重庆啤酒	0.0
2021-05-10	重庆啤酒	0.0
2021-05-11	重庆啤酒	0.0
2021-05-11	重庆啤酒	-1.0
2021-05-11	重庆啤酒	1.0
2021-05-11	重庆啤酒	-1.0
2021-05-12	重庆啤酒	0.0
2021-05-13	重庆啤酒	-1.0
2021-05-13	重庆啤酒	-1.0
2021-05-13	重庆啤酒	1.0
2021-05-14	重庆啤酒	0.0
2021-05-14	重庆啤酒	1.0
2021-05-17	重庆啤酒	-1.0
2021-05-17	重庆啤酒	1.0
2021-05-17	重庆啤酒	-1.0
2021-05-18	重庆啤酒	1.0
2021-05-18	重庆啤酒	1.0
2021-05-18	重庆啤酒	0.0
2021-05-18	重庆啤酒	-1.0
2021-05-18	重庆啤酒	0.0
2021-05-18	重庆啤酒	-1.0
2021-05-18	重庆啤酒	1.0
2021-05-19	重庆啤酒	1.0
2021-05-19	重庆啤酒	-1.0
2021-05-19	重庆啤酒	0.0
2021-05-20	重庆啤酒	1.0
2021-04-06	中公教育	1.0
2021-04-08	中公教育	1.0
2021-04-08	中公教育	-1.0
2021-04-09	中公教育	-1.0
2021-04-10	中公教育	1.0
2021-04-15	中公教育	1.0
2021-04-15	中公教育	1.0
2021-04-15	中公教育	-1.0
2021-04-16	中公教育	1.0
2021-04-16	中公教育	-1.0
2021-04-17	中公教育	-1.0
2021-04-20	中公教育	1.0
2021-04-20	中公教育	1.0
2021-04-20	中公教育	-1.0
2021-04-23	中公教育	1.0
2021-04-24	中公教育	1.0
2021-04-25	中公教育	1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-29	中公教育	-1.0
2021-04-30	中公教育	-1.0
2021-04-30	中公教育	-1.0
2021-04-30	中公教育	-1.0
2021-04-30	中公教育	-1.0
2021-04-30	中公教育	-1.0
2021-04-30	中公教育	-1.0
2021-05-05	中公教育	-1.0
2021-05-06	中公教育	-1.0
2021-05-07	中公教育	-1.0
2021-05-07	中公教育	-1.0
2021-05-07	中公教育	-1.0
2021-05-07	中公教育	1.0
2021-05-11	中公教育	-1.0
2021-05-13	中公教育	-1.0
2021-05-13	中公教育	1.0
2021-05-14	中公教育	1.0
