date	company	F_iT
2021-04-01	重庆啤酒	-1.0
2021-04-02	重庆啤酒	-0.9666666666666667
2021-04-06	重庆啤酒	0.16666666666666663
2021-04-07	重庆啤酒	0.16666666666666663
2021-04-08	重庆啤酒	2.1666666666666665
2021-04-09	重庆啤酒	2.1
2021-04-12	重庆啤酒	0.9333333333333335
2021-04-13	重庆啤酒	-0.09999999999999987
2021-04-14	重庆啤酒	-0.10000000000000009
2021-04-15	重庆啤酒	-0.09999999999999987
2021-04-16	重庆啤酒	-0.10000000000000009
2021-04-19	重庆啤酒	-0.1000000000000002
2021-04-20	重庆啤酒	-0.09999999999999998
2021-04-21	重庆啤酒	-1.0999999999999999
2021-04-22	重庆啤酒	-1.0666666666666664
2021-04-23	重庆啤酒	-2.033333333333333
2021-04-26	重庆啤酒	-1.8333333333333335
2021-04-27	重庆啤酒	-3.7666666666666666
2021-04-28	重庆啤酒	-5.633333333333334
2021-04-29	重庆啤酒	-12.433333333333334
2021-04-30	重庆啤酒	-15.000000000000002
2021-05-06	重庆啤酒	-12.633333333333338
2021-05-07	重庆啤酒	-11.06666666666667
2021-05-10	重庆啤酒	-10.26666666666666
2021-05-11	重庆啤酒	-10.63333333333333
2021-05-12	重庆啤酒	-9.999999999999996
2021-05-13	重庆啤酒	-10.366666666666664
2021-05-14	重庆啤酒	-8.733333333333333
2021-05-17	重庆啤酒	-7.933333333333334
2021-05-18	重庆啤酒	-6.3000000000000025
2021-05-19	重庆啤酒	-5.700000000000002
2021-05-20	重庆啤酒	-4.099999999999999
2021-05-21	重庆啤酒	-3.5333333333333314
2021-05-24	重庆啤酒	-1.9666666666666672
2021-04-01	中公教育	0.0
2021-04-02	中公教育	0.0
2021-04-06	中公教育	1.0
2021-04-07	中公教育	0.9666666666666667
2021-04-08	中公教育	0.9333333333333333
2021-04-09	中公教育	-0.09999999999999998
2021-04-12	中公教育	0.8333333333333334
2021-04-13	中公教育	0.8
2021-04-14	中公教育	0.7666666666666665
2021-04-15	中公教育	1.7333333333333334
2021-04-16	中公教育	1.6666666666666665
2021-04-19	中公教育	0.5333333333333334
2021-04-20	中公教育	1.5
2021-04-21	中公教育	1.4333333333333336
2021-04-22	中公教育	1.3666666666666665
2021-04-23	中公教育	2.3
2021-04-26	中公教育	3.9000000000000004
2021-04-27	中公教育	3.7333333333333334
2021-04-28	中公教育	3.566666666666667
2021-04-29	中公教育	-7.6
2021-04-30	中公教育	-13.4
2021-05-06	中公教育	-12.966666666666669
2021-05-07	中公教育	-14.46666666666667
2021-05-10	中公教育	-12.8
2021-05-11	中公教育	-13.233333333333333
2021-05-12	中公教育	-12.633333333333333
2021-05-13	中公教育	-12.033333333333333
2021-05-14	中公教育	-10.433333333333334
2021-05-17	中公教育	-8.733333333333333
2021-05-18	中公教育	-11.166666666666668
2021-05-19	中公教育	-10.499999999999996
2021-05-20	中公教育	-9.833333333333334
2021-05-21	中公教育	-9.133333333333335
2021-05-24	中公教育	-7.0
2021-04-01	欧普康视	-3.5
2021-04-02	欧普康视	-6.383333333333333
2021-04-06	欧普康视	-6.416666666666668
2021-04-07	欧普康视	-6.166666666666666
2021-04-08	欧普康视	-5.916666666666666
2021-04-09	欧普康视	-5.666666666666666
2021-04-12	欧普康视	-4.916666666666667
2021-04-13	欧普康视	-4.666666666666667
2021-04-14	欧普康视	-4.416666666666666
2021-04-15	欧普康视	-6.166666666666666
2021-04-16	欧普康视	-5.85
2021-04-19	欧普康视	-1.9000000000000004
2021-04-20	欧普康视	0.3166666666666673
2021-04-21	欧普康视	5.466666666666667
2021-04-22	欧普康视	5.45
2021-04-23	欧普康视	4.433333333333334
2021-04-26	欧普康视	4.483333333333333
2021-04-27	欧普康视	2.5
2021-04-28	欧普康视	1.583333333333333
2021-04-29	欧普康视	2.6999999999999993
2021-04-30	欧普康视	0.7833333333333341
2021-05-06	欧普康视	2.599999999999999
2021-05-07	欧普康视	2.433333333333334
2021-05-10	欧普康视	4.733333333333333
2021-05-11	欧普康视	3.4666666666666677
2021-05-12	欧普康视	3.2333333333333334
2021-05-13	欧普康视	1.0
2021-05-14	欧普康视	1.8333333333333326
2021-05-17	欧普康视	1.1
2021-05-18	欧普康视	-0.1666666666666674
2021-05-19	欧普康视	-0.40000000000000047
2021-05-20	欧普康视	-0.5333333333333334
2021-05-21	欧普康视	-0.5999999999999998
2021-05-24	欧普康视	-0.33333333333333326
